,timestamp,page_name,revisions_count,contributors_count,age_of_page_days
0,2018-06-07T12:00:00Z,Himantolophus_borealis,5,1,1294
1,2018-06-07T12:00:00Z,Himantolophus_brevirostris,6,2,1294
2,2018-06-07T12:00:00Z,Himantolophus_compressus,7,3,1294
3,2018-06-07T12:00:00Z,Himantolophus_cornifer,9,2,1294
4,2018-06-07T12:00:00Z,Himantolophus_crinitus,4,2,1294
5,2018-06-07T12:00:00Z,Himantolophus_danae,5,1,1294
6,2018-06-07T12:00:00Z,Himantolophus_litoceras,5,2,1294
7,2018-06-07T12:00:00Z,Himantolophus_macroceras,7,2,1293
8,2018-06-07T12:00:00Z,Himantolophus_macroceratoides,3,1,1293
9,2018-06-07T12:00:00Z,Himantolophus_mauli,5,2,1293
10,2018-06-07T12:00:00Z,Himantolophus_melanolophus,5,2,1293
11,2018-06-07T12:00:00Z,Himantolophus_multifurcatus,4,1,1293
12,2018-06-07T12:00:00Z,Himantolophus_nigricornis,3,1,1293
13,2018-06-07T12:00:00Z,Himantolophus_paucifilosus,4,2,1293
14,2018-06-07T12:00:00Z,Himantolophus_pseudalbinares,6,2,1293
15,2018-06-07T12:00:00Z,Himantolophus_stewarti,6,2,1293
16,2018-06-07T12:00:00Z,Hipposideros_commersoni,2,1,1888
17,2018-06-07T12:00:00Z,Hipposideros_griffini,1,1,1132
18,2018-06-07T12:00:00Z,Hipposideros_khaokhouayensis,1,1,1886
19,2018-06-07T12:00:00Z,Hipposideros_pelingensis,2,1,1886
20,2018-06-07T12:00:00Z,Hipposideros_rotalis,2,1,1886
21,2018-06-07T12:00:00Z,Hipposideros_scutinares,2,1,1886
22,2018-06-07T12:00:00Z,Histiotus_magellanicus,3,3,1927
23,2018-06-07T12:00:00Z,Historia_Naturalis_Brasiliae,21,16,3771
24,2018-06-07T12:00:00Z,Hoegaarden,59,31,3828
25,2018-06-07T12:00:00Z,Hold_On_(пісня_Young_Buck),5,3,1518
26,2018-06-07T12:00:00Z,Homestead,8,7,3985
27,2018-06-07T12:00:00Z,Honda_FCX,60,22,4041
28,2018-06-07T12:00:00Z,Honda_Odyssey,40,8,2909
29,2018-06-07T12:00:00Z,Honda_RCV1000R,16,1,1632
30,2018-06-07T12:00:00Z,Honeymoon,472,48,1079
31,2018-06-07T12:00:00Z,Hoplostethus_druzhinini,11,7,1961
32,2018-06-07T12:00:00Z,Hoplostethus_mento,10,5,1953
33,2018-06-07T12:00:00Z,Humanoid_(альбом),29,18,3235
34,2018-06-07T12:00:00Z,Hybognathus_regius,10,4,1997
35,2018-06-07T12:00:00Z,Hydac,12,5,2441
36,2018-06-07T12:00:00Z,Hylomys_megalotis,6,4,2347
37,2018-06-07T12:00:00Z,Hypsugo_dolichodon,1,1,1179
38,2018-06-07T12:00:00Z,Hyundai_Xcient,22,1,370
39,2018-06-07T12:00:00Z,Hyundai_ix35,51,26,3172
40,2018-06-07T12:00:00Z,I_Call_Your_Name_(a-ha),8,6,2798
41,2018-06-07T12:00:00Z,I'll_Fly_for_You,4,2,1073
42,2018-06-07T12:00:00Z,IC_1011,14,12,4160
43,2018-06-07T12:00:00Z,IC_1059,13,12,4160
44,2018-06-07T12:00:00Z,IC_1065,16,12,4160
45,2018-06-07T12:00:00Z,IC_1295,15,13,4160
46,2018-06-07T12:00:00Z,IC_1318,23,21,4160
47,2018-06-07T12:00:00Z,IC_1396,19,17,4160
48,2018-06-07T12:00:00Z,IC_1517,11,10,4160
49,2018-06-07T12:00:00Z,IC_167,14,13,4160
50,2018-06-07T12:00:00Z,IC_1805,20,18,4160
51,2018-06-07T12:00:00Z,IC_1848,19,16,4160
52,2018-06-07T12:00:00Z,IC_2006,10,9,4160
53,2018-06-07T12:00:00Z,IC_2149,19,16,4160
54,2018-06-07T12:00:00Z,IC_2177,20,16,4160
55,2018-06-07T12:00:00Z,IC_2220,11,9,4160
56,2018-06-07T12:00:00Z,IC_2233,9,7,4160
57,2018-06-07T12:00:00Z,IC_2391,19,16,4160
58,2018-06-07T12:00:00Z,IC_2395,12,10,4160
59,2018-06-07T12:00:00Z,IC_2448,13,11,4160
60,2018-06-07T12:00:00Z,IC_2488,12,11,4160
61,2018-06-07T12:00:00Z,IC_2497,13,12,4160
62,2018-06-07T12:00:00Z,IC_2560,10,8,4160
63,2018-06-07T12:00:00Z,IC_2714,11,9,4160
64,2018-06-07T12:00:00Z,IC_289,16,14,4160
65,2018-06-07T12:00:00Z,IC_298,18,16,4160
66,2018-06-07T12:00:00Z,IC_3,9,8,4160
67,2018-06-07T12:00:00Z,IC_335,9,8,4160
68,2018-06-07T12:00:00Z,IC_3418,10,9,4160
69,2018-06-07T12:00:00Z,IC_348,12,11,4160
70,2018-06-07T12:00:00Z,IC_349,21,19,4160
71,2018-06-07T12:00:00Z,IC_3568,21,18,4160
72,2018-06-07T12:00:00Z,IC_405,23,20,4160
73,2018-06-07T12:00:00Z,IC_4499,11,11,4160
74,2018-06-07T12:00:00Z,IC_4526,11,11,4160
75,2018-06-07T12:00:00Z,IC_4592,14,12,4160
76,2018-06-07T12:00:00Z,IC_4604,11,11,4160
77,2018-06-07T12:00:00Z,IC_4628,13,13,4160
78,2018-06-07T12:00:00Z,IC_4651,12,11,4160
79,2018-06-07T12:00:00Z,IC_4703,12,12,4160
80,2018-06-07T12:00:00Z,IC_5146,25,24,4160
81,2018-06-07T12:00:00Z,IC_5148,13,12,4160
82,2018-06-07T12:00:00Z,IC_5332,9,9,4160
83,2018-06-07T12:00:00Z,IC_883,13,12,4160
84,2018-06-07T12:00:00Z,ICTV,229,112,4434
85,2018-06-07T12:00:00Z,IDO2,1,1,260
86,2018-06-07T12:00:00Z,IEC_60870-5,13,10,2914
87,2018-06-07T12:00:00Z,IFA_W50,15,7,2013
88,2018-06-07T12:00:00Z,IFT27,1,1,258
89,2018-06-07T12:00:00Z,IGFLR1,1,1,258
90,2018-06-07T12:00:00Z,IGLL5,1,1,258
91,2018-06-07T12:00:00Z,III_з'їзд_РСДРП,7,6,3415
92,2018-06-07T12:00:00Z,IMC_Global,23,17,4043
93,2018-06-07T12:00:00Z,IMOCA,5,1,1084
94,2018-06-07T12:00:00Z,INCA1,1,1,259
95,2018-06-07T12:00:00Z,INO80E,1,1,259
96,2018-06-07T12:00:00Z,INOGATE,43,25,4038
97,2018-06-07T12:00:00Z,INPP5F,1,1,260
