page_name,page_age_days,revisions_count_mean,revisions_count_std,revisions_count_ar,revisions_count_max,revisions_count_min,revisions_count_range,revisions_count_avg_last_week,revisions_count_avg_all_period,contributors_count_mean,contributors_count_std,contributors_count_ar,contributors_count_max,contributors_count_min,contributors_count_range,contributors_count_avg_last_week,contributors_count_avg_all_period,num_of_views_mean,num_of_views_std,num_of_views_ar,num_of_views_max,num_of_views_min,num_of_views_range,num_of_views_avg_last_week,num_of_views_avg_all_period,incoming_links_mean,outcoming_links_mean,outcoming_links_std,outcoming_links_ar,outcoming_links_max,outcoming_links_min,outcoming_links_range,outcoming_links_avg_last_week,outcoming_links_avg_all_period,translated
Мільярд,280,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,29.0,0.0,0.0,29.0,29.0,0.0,29.0,29.0,1
1020-ті,1204,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,55.0,0.0,0.0,55.0,55.0,0.0,55.0,55.0,1
1345,1334,31.2,0.4,0.9585038066403267,32.0,31.0,1.0,32.0,31.2,11.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,55.5,36.5,-0.7966100387728106,92.0,19.0,73.0,60.714285714285715,55.5,1
P/2012_F5_(Gibbs),770,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,97.0,0.0,97.0,97.0,1
5.10_(політична_партія),172,58.733333333333334,2.42120263964465,0.9802027482944873,63.0,57.0,6.0,63.0,58.733333333333334,8.733333333333333,0.8137703743822469,0.9795675064112912,10.0,8.0,2.0,10.0,8.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.5,21.5,-0.7966101436999671,47.0,4.0,43.0,28.571428571428573,25.5,1
71-931_«Витязь»,63,4.2,1.8330302779823358,0.9250446124083522,7.0,3.0,4.0,7.0,4.2,1.3,0.45825756949558394,0.9250446460061269,2.0,1.0,1.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,1
А-ба-ба-га-ла-ма-га,3707,247.33333333333334,0.4714045207910317,0.9642781423274563,248.0,247.0,1.0,248.0,247.33333333333334,62.333333333333336,0.4714045207910317,0.9642781261222754,63.0,62.0,1.0,63.0,62.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,68.5,55.5,-0.796610057771437,124.0,13.0,111.0,76.42857142857143,68.5,1
А-гум,64,7.0,0.0,0.0,7.0,7.0,0.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.5,7.5,-0.7966101001372863,22.0,7.0,15.0,15.571428571428571,14.5,1
A4Tech,730,24.0,0.0,0.0,24.0,24.0,0.0,24.0,24.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,1
БКМ_321,2037,64.86666666666666,0.49888765156985887,0.9239979819139966,66.0,64.0,2.0,65.28571428571429,64.86666666666666,27.866666666666667,0.4988876515698589,0.9239978616239063,29.0,27.0,2.0,28.285714285714285,27.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,227.0,0.0,0.0,227.0,227.0,0.0,227.0,227.0,1
ADATA,687,19.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,21.0,21.0,0.0,21.0,21.0,1
AIMP,432,19.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,85.5,71.5,-0.7966102291448687,157.0,14.0,143.0,95.71428571428571,85.5,1
AKR7A3,209,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.47609522856952335,0.5143637688731052,2.0,0.0,2.0,0.0,0.2,0.0,24.5,17.5,-0.7966101388541263,42.0,7.0,35.0,27.0,24.5,1
Автоматична_локомотивна_сигналізація,967,17.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.5,3.5,-0.7966101674942477,14.0,7.0,7.0,11.0,10.5,1
Апт,850,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,1
АСКОН,1309,52.0,0.0,0.0,52.0,52.0,0.0,52.0,52.0,12.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,21.0,21.0,0.0,21.0,21.0,1
АТБ-Маркет,293,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,101.0,0.0,0.0,101.0,101.0,0.0,101.0,101.0,1
ATL,498,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.5,9.5,-0.7966100309641525,27.0,8.0,19.0,16.142857142857142,17.5,1
Аавік,509,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,1
Абадзехська,1564,11.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,122.0,0.0,0.0,122.0,122.0,0.0,122.0,122.0,1
Абакелія,726,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,1
Абакумов,433,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.5,22.5,-0.7966101568478469,48.0,3.0,45.0,28.714285714285715,25.5,1
Абалкін,1399,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,1
Анувій,540,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,11.0,11.0,0.0,11.0,11.0,1
Абастумані,987,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,245.0,0.0,0.0,245.0,245.0,0.0,245.0,245.0,1
