,contributors_count_ar,contributors_count_avg_all_period,contributors_count_avg_last_month,contributors_count_avg_last_week,contributors_count_count_records,contributors_count_max,contributors_count_mean,contributors_count_min,contributors_count_std,page_name,revisions_count_ar,revisions_count_avg_all_period,revisions_count_avg_last_month,revisions_count_avg_last_week,revisions_count_count_records,revisions_count_max,revisions_count_mean,revisions_count_min,revisions_count_std
0,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Himantolophus_borealis,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
1,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_brevirostris,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0
2,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0,Himantolophus_compressus,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0
3,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_cornifer,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0
4,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_crinitus,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0
5,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Himantolophus_danae,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
6,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_litoceras,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
7,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_macroceras,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0
8,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Himantolophus_macroceratoides,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0
9,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_mauli,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
10,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_melanolophus,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
11,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Himantolophus_multifurcatus,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0
12,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Himantolophus_nigricornis,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0
13,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_paucifilosus,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0
14,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_pseudalbinares,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0
15,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,Himantolophus_stewarti,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0
16,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_commersoni,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0
17,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_griffini,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
18,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_khaokhouayensis,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
19,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_pelingensis,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0
20,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_rotalis,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0
21,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hipposideros_scutinares,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0
22,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0,Histiotus_magellanicus,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0
23,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,Historia_Naturalis_Brasiliae,0.0,21.0,21.0,21.0,40,21,21.0,21,0.0
24,0.0,31.0,31.0,31.0,40,31,31.0,31,0.0,Hoegaarden,0.0,59.0,59.0,59.0,40,59,59.0,59,0.0
25,0.0,3.0,3.0,3.0,40,3,3.0,3,0.0,Hold_On_(пісня_Young_Buck),0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
26,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0,Homestead,0.0,8.0,8.0,8.0,40,8,8.0,8,0.0
27,0.0,22.0,22.0,22.0,40,22,22.0,22,0.0,Honda_FCX,0.0,60.0,60.0,60.0,40,60,60.0,60,0.0
28,0.0,8.0,8.0,8.0,40,8,8.0,8,0.0,Honda_Odyssey,0.0,40.0,40.0,40.0,40,40,40.0,40,0.0
29,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Honda_RCV1000R,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0
30,0.0,48.0,48.0,48.0,40,48,48.0,48,0.0,Honeymoon,0.0,472.0,472.0,472.0,40,472,472.0,472,0.0
31,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0,Hoplostethus_druzhinini,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
